sample_id	md5sum	assembly
SAMEA103982823	1d6410afdc0f6bea26408ffd9bd7c719	SAMEA103982823.contigs.fa.gz
SAMEA103982890	405634160454cdf10a0ce2fb56da930e	SAMEA103982890.contigs.fa.gz
SAMEA104055818	59a1352713d0b5589d79022d996b039b	SAMEA104055818.contigs.fa.gz
SAMEA104081172	00bcccf339b55f2e1aebbc824523cd62	SAMEA104081172.contigs.fa.gz
SAMEA104081173	fbad80d03d435878e05e9ff59ab5c6e2	SAMEA104081173.contigs.fa.gz
SAMEA104081180	35889c85cc83c5b7447c1dd06c249a1a	SAMEA104081180.contigs.fa.gz
SAMEA104081190	208705ddde42c1966c992c2b455dd2c2	SAMEA104081190.contigs.fa.gz
SAMEA104081191	c0bc500f7f55d1b1e2c9e4d4537704cd	SAMEA104081191.contigs.fa.gz
SAMEA104081193	e26570959981af19a22f3ac7aa633a6a	SAMEA104081193.contigs.fa.gz
SAMEA104081194	531a97a35f4c7d1d2439dae74cbf1e86	SAMEA104081194.contigs.fa.gz
SAMEA104081200	d4939c0f2e4aa8de08fe8194f23f825d	SAMEA104081200.contigs.fa.gz
SAMEA104081204	5af29f87fca2d2fb71d464f6892f203a	SAMEA104081204.contigs.fa.gz
SAMEA104081224	f40b70f5cc4923efe5bf9bef6b8bfe34	SAMEA104081224.contigs.fa.gz
SAMEA104081234	4a9463e29c9fc85fbd1b2eac47e60c23	SAMEA104081234.contigs.fa.gz
SAMEA104081236	9e5175c59a0a7d568b695d31418451ab	SAMEA104081236.contigs.fa.gz
SAMEA104081242	1664a5ff776b5f67f3fdc8857c683743	SAMEA104081242.contigs.fa.gz
SAMEA104081245	8af00b0fb7df7aa4d087713759b337cd	SAMEA104081245.contigs.fa.gz
SAMEA104081252	217109e7dca53f46172daad3f7f4acc6	SAMEA104081252.contigs.fa.gz
SAMEA104081263	f4e77cfc5523dac8e6f4381420683d1f	SAMEA104081263.contigs.fa.gz
SAMEA104081265	861e174cf542404cb21d14819eacf504	SAMEA104081265.contigs.fa.gz
SAMEA104081268	839e56094a23ef27e84085cafd8e25e2	SAMEA104081268.contigs.fa.gz
